INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-12-01T20:00:00-00:00,2019-12-01T21:00:00-00:00,2019-12-01,13,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,38.56591,1
2019-12-02T04:00:00-00:00,2019-12-02T05:00:00-00:00,2019-12-01,21,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,52.85312,1
2019-12-01T13:00:00-00:00,2019-12-01T14:00:00-00:00,2019-12-01,6,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,43.51998,1
2019-12-01T23:00:00-00:00,2019-12-02T00:00:00-00:00,2019-12-01,16,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,42.73539,1
2019-12-02T00:00:00-00:00,2019-12-02T01:00:00-00:00,2019-12-01,17,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,48.57618,1
2019-12-02T06:00:00-00:00,2019-12-02T07:00:00-00:00,2019-12-01,23,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,47.79098,1
2019-12-01T09:00:00-00:00,2019-12-01T10:00:00-00:00,2019-12-01,2,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,42.10585,1
2019-12-01T17:00:00-00:00,2019-12-01T18:00:00-00:00,2019-12-01,10,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,39.88973,1
2019-12-01T19:00:00-00:00,2019-12-01T20:00:00-00:00,2019-12-01,12,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,36.50241,1
2019-12-02T02:00:00-00:00,2019-12-02T03:00:00-00:00,2019-12-01,19,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,57.60873,1
2019-12-01T14:00:00-00:00,2019-12-01T15:00:00-00:00,2019-12-01,7,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,44.19807,1
2019-12-02T01:00:00-00:00,2019-12-02T02:00:00-00:00,2019-12-01,18,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,65.8981,1
2019-12-02T05:00:00-00:00,2019-12-02T06:00:00-00:00,2019-12-01,22,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,52.1503,1
2019-12-02T07:00:00-00:00,2019-12-02T08:00:00-00:00,2019-12-01,24,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,44.08,1
2019-12-02T03:00:00-00:00,2019-12-02T04:00:00-00:00,2019-12-01,20,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,54.72891,1
2019-12-01T08:00:00-00:00,2019-12-01T09:00:00-00:00,2019-12-01,1,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,42.39007,1
2019-12-01T10:00:00-00:00,2019-12-01T11:00:00-00:00,2019-12-01,3,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,41.71166,1
2019-12-01T11:00:00-00:00,2019-12-01T12:00:00-00:00,2019-12-01,4,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,42.52546,1
2019-12-01T22:00:00-00:00,2019-12-01T23:00:00-00:00,2019-12-01,15,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,40.77566,1
2019-12-01T12:00:00-00:00,2019-12-01T13:00:00-00:00,2019-12-01,5,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,42.50469,1
2019-12-01T15:00:00-00:00,2019-12-01T16:00:00-00:00,2019-12-01,8,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,44.22059,1
2019-12-01T16:00:00-00:00,2019-12-01T17:00:00-00:00,2019-12-01,9,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,43.25569,1
2019-12-01T18:00:00-00:00,2019-12-01T19:00:00-00:00,2019-12-01,11,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,38.11654,1
2019-12-01T21:00:00-00:00,2019-12-01T22:00:00-00:00,2019-12-01,14,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,38.95723,1
2019-12-02T01:00:00-00:00,2019-12-02T02:00:00-00:00,2019-12-01,18,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-12-01T18:00:00-00:00,2019-12-01T19:00:00-00:00,2019-12-01,11,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-12-01T19:00:00-00:00,2019-12-01T20:00:00-00:00,2019-12-01,12,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-12-01T22:00:00-00:00,2019-12-01T23:00:00-00:00,2019-12-01,15,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-12-02T00:00:00-00:00,2019-12-02T01:00:00-00:00,2019-12-01,17,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
