INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-08-02T02:00:00-00:00,2019-08-02T03:00:00-00:00,2019-08-01,20,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,61.32443,1
2019-08-01T18:00:00-00:00,2019-08-01T19:00:00-00:00,2019-08-01,12,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,26.08067,1
2019-08-01T12:00:00-00:00,2019-08-01T13:00:00-00:00,2019-08-01,6,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,30.9061,1
2019-08-01T13:00:00-00:00,2019-08-01T14:00:00-00:00,2019-08-01,7,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,32.72598,1
2019-08-02T00:00:00-00:00,2019-08-02T01:00:00-00:00,2019-08-01,18,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,37.05161,1
2019-08-01T21:00:00-00:00,2019-08-01T22:00:00-00:00,2019-08-01,15,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,29.70119,1
2019-08-01T22:00:00-00:00,2019-08-01T23:00:00-00:00,2019-08-01,16,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,30.45,1
2019-08-02T03:00:00-00:00,2019-08-02T04:00:00-00:00,2019-08-01,21,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,45.3051,1
2019-08-01T20:00:00-00:00,2019-08-01T21:00:00-00:00,2019-08-01,14,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,28.45763,1
2019-08-01T11:00:00-00:00,2019-08-01T12:00:00-00:00,2019-08-01,5,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,27.54909,1
2019-08-01T15:00:00-00:00,2019-08-01T16:00:00-00:00,2019-08-01,9,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,26.00401,1
2019-08-01T19:00:00-00:00,2019-08-01T20:00:00-00:00,2019-08-01,13,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,27.61898,1
2019-08-01T10:00:00-00:00,2019-08-01T11:00:00-00:00,2019-08-01,4,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,26.84271,1
2019-08-02T01:00:00-00:00,2019-08-02T02:00:00-00:00,2019-08-01,19,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,45.16453,1
2019-08-01T14:00:00-00:00,2019-08-01T15:00:00-00:00,2019-08-01,8,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,28.81112,1
2019-08-01T16:00:00-00:00,2019-08-01T17:00:00-00:00,2019-08-01,10,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,25.41693,1
2019-08-01T08:00:00-00:00,2019-08-01T09:00:00-00:00,2019-08-01,2,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,27.93022,1
2019-08-02T04:00:00-00:00,2019-08-02T05:00:00-00:00,2019-08-01,22,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,37.88174,1
2019-08-01T07:00:00-00:00,2019-08-01T08:00:00-00:00,2019-08-01,1,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,28.25614,1
2019-08-01T23:00:00-00:00,2019-08-02T00:00:00-00:00,2019-08-01,17,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,32.43545,1
2019-08-01T09:00:00-00:00,2019-08-01T10:00:00-00:00,2019-08-01,3,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,27.29825,1
2019-08-02T05:00:00-00:00,2019-08-02T06:00:00-00:00,2019-08-01,23,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,32.80993,1
2019-08-01T17:00:00-00:00,2019-08-01T18:00:00-00:00,2019-08-01,11,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,26.12446,1
2019-08-02T06:00:00-00:00,2019-08-02T07:00:00-00:00,2019-08-01,24,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,LMP,LMP_PRC,DLAP_PGAE-APND,ALL_APNODES,0,29.63764,1
2019-08-01T10:00:00-00:00,2019-08-01T11:00:00-00:00,2019-08-01,4,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T12:00:00-00:00,2019-08-01T13:00:00-00:00,2019-08-01,6,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T01:00:00-00:00,2019-08-02T02:00:00-00:00,2019-08-01,19,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-1.12456,2
2019-08-01T14:00:00-00:00,2019-08-01T15:00:00-00:00,2019-08-01,8,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T00:00:00-00:00,2019-08-02T01:00:00-00:00,2019-08-01,18,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-6.54531,2
2019-08-01T16:00:00-00:00,2019-08-01T17:00:00-00:00,2019-08-01,10,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T09:00:00-00:00,2019-08-01T10:00:00-00:00,2019-08-01,3,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T02:00:00-00:00,2019-08-02T03:00:00-00:00,2019-08-01,20,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T04:00:00-00:00,2019-08-02T05:00:00-00:00,2019-08-01,22,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T06:00:00-00:00,2019-08-02T07:00:00-00:00,2019-08-01,24,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T20:00:00-00:00,2019-08-01T21:00:00-00:00,2019-08-01,14,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-1.87504,2
2019-08-02T03:00:00-00:00,2019-08-02T04:00:00-00:00,2019-08-01,21,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-02T05:00:00-00:00,2019-08-02T06:00:00-00:00,2019-08-01,23,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T15:00:00-00:00,2019-08-01T16:00:00-00:00,2019-08-01,9,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T22:00:00-00:00,2019-08-01T23:00:00-00:00,2019-08-01,16,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-2.51639,2
2019-08-01T07:00:00-00:00,2019-08-01T08:00:00-00:00,2019-08-01,1,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T08:00:00-00:00,2019-08-01T09:00:00-00:00,2019-08-01,2,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T23:00:00-00:00,2019-08-02T00:00:00-00:00,2019-08-01,17,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-4.30363,2
2019-08-01T17:00:00-00:00,2019-08-01T18:00:00-00:00,2019-08-01,11,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,0,2
2019-08-01T18:00:00-00:00,2019-08-01T19:00:00-00:00,2019-08-01,12,0,DLAP_PGAE-APND,DLAP_PGAE-APND,DLAP_PGAE-APND,DAM,MCC,LMP_CONG_PRC,DLAP_PGAE-APND,ALL_APNODES,0,-0.46489,2
